cmdb数据库SN,交付清单SN,猎豹SN,BMC界面SN,飞书云文档SN,主机名,别名,带外地址,带内地址,是否一致,,,,,,,,,,,,,,,,,
,GOH3X7512A0001,GOH3X7512A0001,GOH3X7512A0001,GOH3X7512A0001,MDC-DH1E-F23-POD1-GPU-126,hgx126,10.240.8.126,10.240.0.126,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0027,GOH4X8312A0027,GOH4X8312A0027,GOH4X8312A0027,MDC-DH1E-I07-POD1-GPU-127,hgx127,10.240.8.127,10.240.0.127,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0150,GOH4X8312A0150,GOH4X8312A0150,GOH4X8312A0150,MDC-DH1E-I08-POD1-GPU-128,hgx128,10.240.8.128,10.240.0.128,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0118,GOH4X8312A0118,GOH4X8312A0118,GOH4X8312A0118,MDC-DH1E-I09-POD1-GPU-129,hgx129,10.240.8.129,10.240.0.129,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0172,GOH4X8312A0172,GOH4X8312A0172,GOH4X8312A0172,MDC-DH1E-I10-POD1-GPU-130,hgx130,10.240.8.130,10.240.0.130,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0123,GOH4X8312A0123,GOH4X8312A0123,GOH4X8312A0123,MDC-DH1E-I11-POD1-GPU-131,hgx131,10.240.8.131,10.240.1.1,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0120,GOH4X8312A0120,GOH4X8312A0120,GOH4X8312A0120,MDC-DH1E-I12-POD1-GPU-132,hgx132,10.240.8.132,10.240.1.2,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0067,GOH4X8312A0067,GOH4X8312A0067,GOH4X8312A0067,MDC-DH1E-I13-POD1-GPU-133,hgx133,10.240.8.133,10.240.1.3,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0147,GOH4X8312A0147,GOH4X8312A0147,GOH4X8312A0147,MDC-DH1E-I14-POD1-GPU-134,hgx134,10.240.8.134,10.240.1.4,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0073,GOH4X8312A0073,GOH4X8312A0073,GOH4X8312A0073,MDC-DH1E-I15-POD1-GPU-135,hgx135,10.240.8.135,10.240.1.5,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0076,GOH4X8312A0076,GOH4X8312A0076,GOH4X8312A0076,MDC-DH1E-I16-POD1-GPU-136,hgx136,10.240.8.136,10.240.1.6,一致,,,,,,,,,,,,,,,,,
,GOI4X8312A0144,GOI4X8312A0144,GOI4X8312A0144,GOI4X8312A0144,MDC-DH1E-I17-POD1-GPU-137,hgx137,10.240.8.137,10.240.1.7,一致,,,,,,,,,,,,,,,,,
,GOI4X8312A0056,GOI4X8312A0056,GOI4X8312A0056,GOI4X8312A0056,MDC-DH1E-I18-POD1-GPU-138,hgx138,10.240.8.138,10.240.1.8,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0122,GOH4X8312A0122,GOH4X8312A0122,GOH4X8312A0122,MDC-DH1E-I19-POD1-GPU-139,hgx139,10.240.8.139,10.240.1.9,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0137,GOH4X8312A0137,GOH4X8312A0137,GOH4X8312A0137,MDC-DH1E-I20-POD1-GPU-140,hgx140,10.240.8.140,10.240.1.10,一致,,,,,,,,,,,,,,,,,
,GOI4X8312A0004,GOI4X8312A0004,GOI4X8312A0004,GOI4X8312A0004,MDC-DH1E-I21-POD1-GPU-141,hgx141,10.240.8.141,10.240.1.11,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0146,GOH4X8312A0146,GOH4X8312A0146,GOH4X8312A0146,MDC-DH1E-I22-POD1-GPU-142,hgx142,10.240.8.142,10.240.1.12,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0077,GOH4X8312A0077,GOH4X8312A0077,GOH4X8312A0077,MDC-DH1E-I23-POD1-GPU-143,hgx143,10.240.8.143,10.240.1.13,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0155,GOH4X8312A0155,GOH4X8312A0155,GOH4X8312A0155,MDC-DH1E-J07-POD1-GPU-144,hgx144,10.240.8.144,10.240.1.14,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0170,GOH4X8312A0170,GOH4X8312A0170,GOH4X8312A0170,MDC-DH1E-J08-POD1-GPU-145,hgx145,10.240.8.145,10.240.1.15,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0049,GOH4X8312A0049,GOH4X8312A0049,GOH4X8312A0049,MDC-DH1E-J09-POD1-GPU-146,hgx146,10.240.8.146,10.240.1.16,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0045,GOH4X8312A0045,GOH4X8312A0045,GOH4X8312A0045,MDC-DH1E-J10-POD1-GPU-147,hgx147,10.240.8.147,10.240.1.17,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0181,GOH4X8312A0181,GOH4X8312A0181,GOH4X8312A0181,MDC-DH1E-J11-POD1-GPU-148,hgx148,10.240.8.148,10.240.1.18,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0119,GOH4X8312A0119,GOH4X8312A0119,GOH4X8312A0119,MDC-DH1E-J12-POD1-GPU-149,hgx149,10.240.8.149,10.240.1.19,一致,,,,,,,,,,,,,,,,,
,GOG3X7512A0001,GOG3X7512A0001,GOG3X7512A0001,GOG3X7512A0001,MDC-DH1E-J13-POD1-GPU-150,hgx150,10.240.8.150,10.240.1.20,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0168,GOH4X8312A0168,GOH4X8312A0168,GOH4X8312A0168,MDC-DH1E-N05-POD1-GPU-151,hgx151,10.240.8.151,10.240.1.21,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0032,GOH4X8312A0032,GOH4X8312A0032,GOH4X8312A0032,MDC-DH1E-N06-POD1-GPU-152,hgx152,10.240.8.152,10.240.1.22,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0197,GOH4X8312A0197,GOH4X8312A0197,GOH4X8312A0197,MDC-DH1E-N07-POD1-GPU-153,hgx153,10.240.8.153,10.240.1.23,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0044,GOH4X8312A0044,GOH4X8312A0044,GOH4X8312A0044,MDC-DH1E-J17-POD1-GPU-154,hgx154,10.240.8.154,10.240.1.24,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0163,GOG4X8312A0163,GOG4X8312A0163,GOG4X8312A0163,MDC-DH1E-J18-POD1-GPU-155,hgx155,10.240.8.155,10.240.1.25,一致,,,,,,,,,,,,,,,,,
,GOG3X7512A0008,GOG3X7512A0008,GOG3X7512A0008,GOG3X7512A0008,MDC-DH1E-J19-POD1-GPU-156,hgx156,10.240.8.156,10.240.1.26,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0187,GOG4X8312A0187,GOG4X8312A0187,GOG4X8312A0187,MDC-DH1E-J20-POD1-GPU-157,hgx157,10.240.8.157,10.240.1.27,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0016,GOH4X8312A0016,GOH4X8312A0016,GOH4X8312A0016,MDC-DH1E-J21-POD1-GPU-158,hgx158,10.240.8.158,10.240.1.28,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0039,GOG4X8312A0039,GOG4X8312A0039,GOG4X8312A0039,MDC-DH1E-J22-POD1-GPU-159,hgx159,10.240.8.159,10.240.1.29,一致,,,,,,,,,,,,,,,,,
,GOI4X8312A0122,GOI4X8312A0122,GOI4X8312A0122,GOI4X8312A0122,MDC-DH1E-J23-POD1-GPU-160,hgx160,10.240.8.160,10.240.1.30,一致,,,,,,,,,,,,,,,,,
,GOG3X7512A0003,GOG3X7512A0003,GOG3X7512A0003,GOG3X7512A0003,MDC-DH1E-J24-POD1-GPU-161,hgx161,10.240.8.161,10.240.1.31,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0083,GOH4X8312A0083,GOH4X8312A0083,GOH4X8312A0083,MDC-DH1E-J25-POD1-GPU-162,hgx162,10.240.8.162,10.240.1.32,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0062,GOH4X8312A0062,GOH4X8312A0062,GOH4X8312A0062,MDC-DH1E-J26-POD1-GPU-163,hgx163,10.240.8.163,10.240.1.33,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0069,GOH4X8312A0069,GOH4X8312A0069,GOH4X8312A0069,MDC-DH1E-J27-POD1-GPU-164,hgx164,10.240.8.164,10.240.1.34,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0038,GOH4X8312A0038,GOH4X8312A0038,GOH4X8312A0038,MDC-DH1E-J28-POD1-GPU-165,hgx165,10.240.8.165,10.240.1.35,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0129,GOG4X8312A0129,GOG4X8312A0129,GOG4X8312A0129,MDC-DH1E-J29-POD1-GPU-166,hgx166,10.240.8.166,10.240.1.36,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0051,GOH4X8312A0051,GOH4X8312A0051,GOH4X8312A0051,MDC-DH1E-K07-POD1-GPU-167,hgx167,10.240.8.167,10.240.1.37,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0179,GOG4X8312A0179,GOG4X8312A0179,GOG4X8312A0179,MDC-DH1E-K08-POD1-GPU-168,hgx168,10.240.8.168,10.240.1.38,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0153,GOG4X8312A0153,GOG4X8312A0153,GOG4X8312A0153,MDC-DH1E-K09-POD1-GPU-169,hgx169,10.240.8.169,10.240.1.39,一致,,,,,,,,,,,,,,,,,
,GOG3X7512A0004,GOG3X7512A0004,GOG3X7512A0004,GOG3X7512A0004,MDC-DH1E-K10-POD1-GPU-170,hgx170,10.240.8.170,10.240.1.40,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0014,GOH4X8312A0014,GOH4X8312A0014,GOH4X8312A0014,MDC-DH1E-K11-POD1-GPU-171,hgx171,10.240.8.171,10.240.1.41,一致,,,,,,,,,,,,,,,,,
,GOG3X7512A0006,GOG3X7512A0006,GOG3X7512A0006,GOG3X7512A0006,MDC-DH1E-K12-POD1-GPU-172,hgx172,10.240.8.172,10.240.1.42,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0006,GOH4X8312A0006,GOH4X8312A0006,GOH4X8312A0006,MDC-DH1E-K13-POD1-GPU-173,hgx173,10.240.8.173,10.240.1.43,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0167,GOG4X8312A0167,GOG4X8312A0167,GOG4X8312A0167,MDC-DH1E-K14-POD1-GPU-174,hgx174,10.240.8.174,10.240.1.44,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0042,GOG4X8312A0042,GOG4X8312A0042,GOG4X8312A0042,MDC-DH1E-K15-POD1-GPU-175,hgx175,10.240.8.175,10.240.1.45,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0030,GOG4X8312A0030,GOG4X8312A0030,GOG4X8312A0030,MDC-DH1E-K16-POD1-GPU-176,hgx176,10.240.8.176,10.240.1.46,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0149,GOG4X8312A0149,GOG4X8312A0149,GOG4X8312A0149,MDC-DH1E-K17-POD1-GPU-177,hgx177,10.240.8.177,10.240.1.47,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0197,GOG4X8312A0197,GOG4X8312A0197,GOG4X8312A0197,MDC-DH1E-K18-POD1-GPU-178,hgx178,10.240.8.178,10.240.1.48,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0154,GOG4X8312A0154,GOG4X8312A0154,GOG4X8312A0154,MDC-DH1E-K19-POD1-GPU-179,hgx179,10.240.8.179,10.240.1.49,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0002,GOG4X8312A0002,GOG4X8312A0002,GOG4X8312A0002,MDC-DH1E-K20-POD1-GPU-180,hgx180,10.240.8.180,10.240.1.50,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0008,GOG4X8312A0008,GOG4X8312A0008,GOG4X8312A0008,MDC-DH1E-K21-POD1-GPU-181,hgx181,10.240.8.181,10.240.1.51,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0152,GOG4X8312A0152,GOG4X8312A0152,GOG4X8312A0152,MDC-DH1E-K22-POD1-GPU-182,hgx182,10.240.8.182,10.240.1.52,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0151,GOG4X8312A0151,GOG4X8312A0151,GOG4X8312A0151,MDC-DH1E-K23-POD1-GPU-183,hgx183,10.240.8.183,10.240.1.53,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0111,GOG4X8312A0111,GOG4X8312A0111,GOG4X8312A0111,MDC-DH1E-K24-POD1-GPU-184,hgx184,10.240.8.184,10.240.1.54,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0047,GOG4X8312A0047,GOG4X8312A0047,GOG4X8312A0047,MDC-DH1E-K25-POD1-GPU-185,hgx185,10.240.8.185,10.240.1.55,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0094,GOG4X8312A0094,GOG4X8312A0094,GOG4X8312A0094,MDC-DH1E-K26-POD1-GPU-186,hgx186,10.240.8.186,10.240.1.56,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0146,GOG4X8312A0146,GOG4X8312A0146,GOG4X8312A0146,MDC-DH1E-K27-POD1-GPU-187,hgx187,10.240.8.187,10.240.1.57,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0020,GOJ4X8312A0020,GOJ4X8312A0020,GOJ4X8312A0020,MDC-DH1E-K28-POD1-GPU-188,hgx188,10.240.8.188,10.240.1.58,一致,,,,,,,,,,,,,,,,,
,GOJ4X8312A0023,GOJ4X8312A0023,GOJ4X8312A0023,GOJ4X8312A0023,MDC-DH1E-K29-POD1-GPU-189,hgx189,10.240.8.189,10.240.1.59,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0157,GOG4X8312A0157,GOG4X8312A0157,GOG4X8312A0157,MDC-DH1E-L01-POD1-GPU-190,hgx190,10.240.8.190,10.240.1.60,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0117,GOG4X8312A0117,GOG4X8312A0117,GOG4X8312A0117,MDC-DH1E-L02-POD1-GPU-191,hgx191,10.240.8.191,10.240.1.61,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0190,GOG4X8312A0190,GOG4X8312A0190,GOG4X8312A0190,MDC-DH1E-L03-POD1-GPU-192,hgx192,10.240.8.192,10.240.1.62,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0186,GOG4X8312A0186,GOG4X8312A0186,GOG4X8312A0186,MDC-DH1E-L04-POD1-GPU-193,hgx193,10.240.8.193,10.240.1.63,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0087,GOG4X8312A0087,GOG4X8312A0087,GOG4X8312A0087,MDC-DH1E-L05-POD1-GPU-194,hgx194,10.240.8.194,10.240.1.64,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0078,GOG4X8312A0078,GOG4X8312A0078,GOG4X8312A0078,MDC-DH1E-L06-POD1-GPU-195,hgx195,10.240.8.195,10.240.1.65,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0135,GOH4X8312A0135,GOH4X8312A0135,GOH4X8312A0135,MDC-DH1E-L07-POD1-GPU-196,hgx196,10.240.8.196,10.240.1.66,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0046,GOG4X8312A0046,GOG4X8312A0046,GOG4X8312A0046,MDC-DH1E-L08-POD1-GPU-197,hgx197,10.240.8.197,10.240.1.67,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0136,GOG4X8312A0136,GOG4X8312A0136,GOG4X8312A0136,MDC-DH1E-L09-POD1-GPU-198,hgx198,10.240.8.198,10.240.1.68,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0168,GOG4X8312A0168,GOG4X8312A0168,GOG4X8312A0168,MDC-DH1E-L10-POD1-GPU-199,hgx199,10.240.8.199,10.240.1.69,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0185,GOG4X8312A0185,GOG4X8312A0185,GOG4X8312A0185,MDC-DH1E-L11-POD1-GPU-200,hgx200,10.240.8.200,10.240.1.70,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0091,GOG4X8312A0091,GOG4X8312A0091,GOG4X8312A0091,MDC-DH1E-L12-POD1-GPU-201,hgx201,10.240.8.201,10.240.1.71,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0102,GOG4X8312A0102,GOG4X8312A0102,GOG4X8312A0102,MDC-DH1E-L13-POD1-GPU-202,hgx202,10.240.8.202,10.240.1.72,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0182,GOG4X8312A0182,GOG4X8312A0182,GOG4X8312A0182,MDC-DH1E-L14-POD1-GPU-203,hgx203,10.240.8.203,10.240.1.73,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0132,GOG4X8312A0132,GOG4X8312A0132,GOG4X8312A0132,MDC-DH1E-L15-POD1-GPU-204,hgx204,10.240.8.204,10.240.1.74,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0160,GOG4X8312A0160,GOG4X8312A0160,GOG4X8312A0160,MDC-DH1E-L16-POD1-GPU-205,hgx205,10.240.8.205,10.240.1.75,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0080,GOG4X8312A0080,GOG4X8312A0080,GOG4X8312A0080,MDC-DH1E-L17-POD1-GPU-206,hgx206,10.240.8.206,10.240.1.76,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0049,GOG4X8312A0049,GOG4X8312A0049,GOG4X8312A0049,MDC-DH1E-L18-POD1-GPU-207,hgx207,10.240.8.207,10.240.1.77,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0079,GOH4X8312A0079,GOH4X8312A0079,GOH4X8312A0079,MDC-DH1E-L19-POD1-GPU-208,hgx208,10.240.8.208,10.240.1.78,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0159,GOG4X8312A0159,GOG4X8312A0159,GOG4X8312A0159,MDC-DH1E-L20-POD1-GPU-209,hgx209,10.240.8.209,10.240.1.79,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0075,GOG4X8312A0075,GOG4X8312A0075,GOG4X8312A0075,MDC-DH1E-L21-POD1-GPU-210,hgx210,10.240.8.210,10.240.1.80,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0084,GOH4X8312A0084,GOH4X8312A0084,GOH4X8312A0084,MDC-DH1E-L22-POD1-GPU-211,hgx211,10.240.8.211,10.240.1.81,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0042,GOH4X8312A0042,GOH4X8312A0042,GOH4X8312A0042,MDC-DH1E-L23-POD1-GPU-212,hgx212,10.240.8.212,10.240.1.82,一致,,,,,,,,,,,,,,,,,
,GOG4X8512A0073,GOG4X8512A0073,GOG4X8512A0073,GOG4X8512A0073,MDC-DH1E-M08-POD1-GPU-213,hgx213,10.240.8.213,10.240.1.83,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0040,GOG4X8312A0040,GOG4X8312A0040,GOG4X8312A0040,MDC-DH1E-M09-POD1-GPU-214,hgx214,10.240.8.214,10.240.1.84,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0048,GOH4X8312A0048,GOH4X8312A0048,GOH4X8312A0048,MDC-DH1E-M10-POD1-GPU-215,hgx215,10.240.8.215,10.240.1.85,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0164,GOH4X8312A0164,GOH4X8312A0164,GOH4X8312A0164,MDC-DH1E-M11-POD1-GPU-216,hgx216,10.240.8.216,10.240.1.86,一致,,,,,,,,,,,,,,,,,
,GOI4X8312A0038,GOI4X8312A0038,GOI4X8312A0038,GOI4X8312A0038,MDC-DH1E-M12-POD1-GPU-217,hgx217,10.240.8.217,10.240.1.87,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0107,GOH4X8312A0107,GOH4X8312A0107,GOH4X8312A0107,MDC-DH1E-M13-POD1-GPU-218,hgx218,10.240.8.218,10.240.1.88,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0132,GOH4X8312A0132,GOH4X8312A0132,GOH4X8312A0132,MDC-DH1E-M14-POD1-GPU-219,hgx219,10.240.8.219,10.240.1.89,一致,,,,,,,,,,,,,,,,,
,GOI4X8312A0024,GOI4X8312A0024,GOI4X8312A0024,GOI4X8312A0024,MDC-DH1E-M15-POD1-GPU-220,hgx220,10.240.8.220,10.240.1.90,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0141,GOH4X8312A0141,GOH4X8312A0141,GOH4X8312A0141,MDC-DH1E-M16-POD1-GPU-221,hgx221,10.240.8.221,10.240.1.91,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0061,GOH4X8312A0061,GOH4X8312A0061,GOH4X8312A0061,MDC-DH1E-M17-POD1-GPU-222,hgx222,10.240.8.222,10.240.1.92,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0092,GOH4X8312A0092,GOH4X8312A0092,GOH4X8312A0092,MDC-DH1E-M18-POD1-GPU-223,hgx223,10.240.8.223,10.240.1.93,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0001,GOH4X8312A0001,GOH4X8312A0001,GOH4X8312A0001,MDC-DH1E-M19-POD1-GPU-224,hgx224,10.240.8.224,10.240.1.94,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0195,GOH4X8312A0195,GOH4X8312A0195,GOH4X8312A0195,MDC-DH1E-M20-POD1-GPU-225,hgx225,10.240.8.225,10.240.1.95,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0093,GOH4X8312A0093,GOH4X8312A0093,GOH4X8312A0093,MDC-DH1E-M21-POD1-GPU-226,hgx226,10.240.8.226,10.240.1.96,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0066,GOH4X8312A0066,GOH4X8312A0066,GOH4X8312A0066,MDC-DH1E-M22-POD1-GPU-227,hgx227,10.240.8.227,10.240.1.97,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0051,GOG4X8312A0051,GOG4X8312A0051,GOG4X8312A0051,MDC-DH1E-M23-POD1-GPU-228,hgx228,10.240.8.228,10.240.1.98,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0180,GOH4X8312A0180,GOH4X8312A0180,GOH4X8312A0180,MDC-DH1E-M24-POD1-GPU-229,hgx229,10.240.8.229,10.240.1.99,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0161,GOH4X8312A0161,GOH4X8312A0161,GOH4X8312A0161,MDC-DH1E-M25-POD1-GPU-230,hgx230,10.240.8.230,10.240.1.100,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0196,GOH4X8312A0196,GOH4X8312A0196,GOH4X8312A0196,MDC-DH1E-M26-POD1-GPU-231,hgx231,10.240.8.231,10.240.1.101,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0111,GOH4X8312A0111,GOH4X8312A0111,GOH4X8312A0111,MDC-DH1E-M27-POD1-GPU-232,hgx232,10.240.8.232,10.240.1.102,一致,,,,,,,,,,,,,,,,,
,GOG4X8512A0107,GOG4X8512A0107,GOG4X8512A0107,GOG4X8512A0107,MDC-DH1E-M28-POD1-GPU-233,hgx233,10.240.8.233,10.240.1.103,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0144,GOH4X8312A0144,GOH4X8312A0144,GOH4X8312A0144,MDC-DH1E-M29-POD1-GPU-234,hgx234,10.240.8.234,10.240.1.104,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0200,GOH4X8312A0200,GOH4X8312A0200,GOH4X8312A0200,MDC-DH1E-N08-POD1-GPU-235,hgx235,10.240.8.235,10.240.1.105,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0124,GOH4X8312A0124,GOH4X8312A0124,GOH4X8312A0124,MDC-DH1E-N09-POD1-GPU-236,hgx236,10.240.8.236,10.240.1.106,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0127,GOH4X8312A0127,GOH4X8312A0127,GOH4X8312A0127,MDC-DH1E-N10-POD1-GPU-237,hgx237,10.240.8.237,10.240.1.107,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0145,GOH4X8312A0145,GOH4X8312A0145,GOH4X8312A0145,MDC-DH1E-N11-POD1-GPU-238,hgx238,10.240.8.238,10.240.1.108,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0193,GOH4X8312A0193,GOH4X8312A0193,GOH4X8312A0193,MDC-DH1E-N12-POD1-GPU-239,hgx239,10.240.8.239,10.240.1.109,一致,,,,,,,,,,,,,,,,,
,GOI4X8312A0112,GOI4X8312A0112,GOI4X8312A0112,GOI4X8312A0112,MDC-DH1E-N13-POD1-GPU-240,hgx240,10.240.8.240,10.240.1.110,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0178,GOH4X8312A0178,GOH4X8312A0178,GOH4X8312A0178,MDC-DH1E-N14-POD1-GPU-241,hgx241,10.240.8.241,10.240.1.111,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0174,GOG4X8312A0174,GOG4X8312A0174,GOG4X8312A0174,MDC-DH1E-N15-POD1-GPU-242,hgx242,10.240.8.242,10.240.1.112,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0182,GOH4X8312A0182,GOH4X8312A0182,GOH4X8312A0182,MDC-DH1E-N16-POD1-GPU-243,hgx243,10.240.8.243,10.240.1.113,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0131,GOH4X8312A0131,GOH4X8312A0131,GOH4X8312A0131,MDC-DH1E-N17-POD1-GPU-244,hgx244,10.240.8.244,10.240.1.114,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0199,GOG4X8312A0199,GOG4X8312A0199,GOG4X8312A0199,MDC-DH1E-N18-POD1-GPU-245,hgx245,10.240.8.245,10.240.1.115,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0151,GOH4X8312A0151,GOH4X8312A0151,GOH4X8312A0151,MDC-DH1E-N19-POD1-GPU-246,hgx246,10.240.8.246,10.240.1.116,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0163,GOH4X8312A0163,GOH4X8312A0163,GOH4X8312A0163,MDC-DH1E-N20-POD1-GPU-247,hgx247,10.240.8.247,10.240.1.117,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0106,GOH4X8312A0106,GOH4X8312A0106,GOH4X8312A0106,MDC-DH1E-N21-POD1-GPU-248,hgx248,10.240.8.248,10.240.1.118,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0046,GOH4X8312A0046,GOH4X8312A0046,GOH4X8312A0046,MDC-DH1E-N22-POD1-GPU-249,hgx249,10.240.8.249,10.240.1.119,一致,,,,,,,,,,,,,,,,,
,GOI4X8312A0128,GOI4X8312A0128,GOI4X8312A0128,GOI4X8312A0128,MDC-DH1E-N23-POD1-GPU-250,hgx250,10.240.8.250,10.240.1.120,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0143,GOH4X8312A0143,GOH4X8312A0143,GOH4X8312A0143,MDC-DH1E-N24-POD1-GPU-251,hgx251,10.240.8.251,10.240.1.121,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0121,GOH4X8312A0121,GOH4X8312A0121,GOH4X8312A0121,MDC-DH1E-N25-POD1-GPU-252,hgx252,10.240.8.252,10.240.1.122,一致,,,,,,,,,,,,,,,,,
,GOH4X8312A0130,GOH4X8312A0130,GOH4X8312A0130,GOH4X8312A0130,MDC-DH1E-N26-POD1-GPU-253,hgx253,10.240.8.253,10.240.1.123,一致,,,,,,,,,,,,,,,,,
